iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,continent,,Flag,,gdp_per_capita,,,,,
AFG,Afghanistan,2020,12.16,0.312,,0.061,0.002,7.508,0.193,,,0.314,0.008,4.277,0.11,,,0.11,0.014,,,,,,192.849,2.504,60.405,,20.15,103.833,,,0.03,0,0.05,,0,0.04,,0.01,0.01,0.01,,0.01,0.02,,,,,,,,,,38928341,611,,,,Asia,,,,611,2020,508,2020,509,2020
ALB,Albania,2020,4.535,1.576,,0.78,0.271,0.461,0.16,,,0.153,0.053,3.14,1.091,,,-6.76,-0.329,,,,,,285.503,19.484,66.964,,16.602,182.453,,,0.01,0.05,0,,0,0.03,,0.02,0.05,0.01,,0.01,0.03,,,,,,,,,,2877800,6260,,,,Europe,,,,6260,2022,5181,2020,5215,2020
DZA,Algeria,2020,154.995,3.535,,10.749,0.245,1.099,0.025,5.599,0.128,88.219,2.012,49.33,1.125,,,-6.99,-11.646,,,,,,4587.132,229.286,116.449,588.666,2062.656,1590.074,,,0.45,0.66,0.01,1.29,1.19,0.45,,0.27,0.53,0.01,3.31,0.84,0.27,,,,,,,,,,43851043,4294,,,,Africa,,,,4294,2022,3368,2020,3310,2020
AND,Andorra,2020,0.466,6.035,,,,,,,,,,0.466,6.035,,,-7.08,-0.036,,,,,,15.071,,,,,15.071,,,0,,,,,0,,0,,,,,0,,,,,,,,,,77265,41930,,,,Europe,,,,41930,2022,37072,2020,40897,2019
AGO,Angola,2020,22.198,0.675,,1.937,0.059,,,7.867,0.239,1.314,0.04,11.08,0.337,,,-5.49,-1.289,,,,,,682.26,26.912,,288.528,40.78,324.439,,,0.06,0.12,,1.81,0.02,0.1,,0.04,0.06,,1.62,0.02,0.05,,,,,,,,,,32866267,3793,,,,Africa,,,,3793,2022,1896,2020,1896,2020
AIA,Anguilla,2020,0.123,8.227,,,,,,,,,,0.123,8.227,,,-11.51,-0.016,,,,,,3.421,,,,,3.421,,,0,,,,,0,,0,,,,,0,,,,,,,,,,15002,1,,,,North America,,,,1,,17226,2020,N/A,
ATA,Antarctica,2020,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Antarctica,,,,1,,0,0,0,
ATG,Antigua and Barbuda,2020,0.43,4.395,,,,,,,,,,0.43,4.395,,,-11.51,-0.056,,,,,,21.527,,,,,21.527,,,0,,,,,0,,0,,,,,0,,,,,,,,,,97928,16085,,,,North America,,,,16085,2022,13993,2020,13993,2020
ARG,Argentina,2020,156.978,3.473,,3.649,0.081,2.816,0.062,1.847,0.041,86.702,1.918,61.965,1.371,,,-6.32,-10.588,,,,,,8431.213,197.058,537.442,184.48,2868.907,4643.326,,,0.45,0.22,0.02,0.42,1.17,0.56,,0.5,0.46,0.07,1.04,1.17,0.78,,,,,,,,,,45195777,12187,,,,South America,,,,12187,2022,8476,2020,8579,2020
ARM,Armenia,2020,5.89,1.988,,0.315,0.106,0.004,0.002,,,4.873,1.644,0.698,0.236,,,6.54,0.362,,,,,,383.336,14.831,43.765,,157.331,165.259,,,0.02,0.02,0,,0.07,0.01,,0.02,0.03,0.01,,0.06,0.03,,,,,,,,,,2963234,4741,,,,Asia,,,,4741,2022,4266,2020,4268,2020
ABW,Aruba,2020,0.753,7.055,,,,,,,,,,0.753,7.055,,,-11.51,-0.098,,,,,,75.921,,,,,75.921,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,106766,28863,,,,North America,,,,28863,2022,23386,2020,30253,2018
AUS,Australia,2020,391.892,15.368,,3.025,0.119,159.817,6.267,20.341,0.798,80.208,3.145,124.606,4.886,3.895,0.153,-5.46,-22.625,,,,,,18635.75,192.373,10231.205,287.304,2082.69,5731.696,110.483,,1.13,0.19,1.14,4.68,1.08,1.13,1.31,1.1,0.45,1.3,1.61,0.85,0.97,1.18,,,,,,,,,25499881,67464,,,,Oceania,,,,67464,2022,55823,2020,51693,2020
AUT,Austria,2020,60.635,6.732,,1.771,0.197,10.205,1.133,0.118,0.013,17.037,1.892,30.342,3.369,1.162,0.129,-10.78,-7.328,,,,,,5505.509,137.848,2730.362,4.663,722.562,1875.277,34.797,,0.17,0.11,0.07,0.03,0.23,0.27,0.39,0.32,0.32,0.35,0.03,0.29,0.32,0.37,,,,,,,,,9006400,53371,,,,Europe,,,,53371,2022,48106,2020,48587,2020
AZE,Azerbaijan,2020,37.72,3.72,,1.083,0.107,0.004,0,2.667,0.263,23.405,2.308,10.561,1.042,,,-2.59,-1.005,,,,,,2503.756,30.8,24.287,51.843,1035.549,1361.277,,,0.11,0.07,0,0.61,0.32,0.1,,0.15,0.07,0,0.29,0.42,0.23,,,,,,,,,,10139175,7165,,,,Asia,,,,7165,2022,4202,2020,4214,2020
BHS,Bahamas,2020,2.338,5.945,,,,0.008,0.021,,,,,2.329,5.923,,,-11.38,-0.3,,,,,,169.519,,0.271,,,164.987,,,0.01,,0,,,0.02,,0.01,,0,,,0.03,,,,,,,,,,393248,32077,,,,North America,,,,32077,2022,25194,2020,25194,2020
BHR,Bahrain,2020,34.96,20.546,,0.524,0.308,,,,,30.83,18.118,3.606,2.119,,,1.51,0.521,,,,,,926.303,7.325,,,705.17,213.655,,,0.1,0.03,,,0.42,0.03,,0.05,0.02,,,0.29,0.04,,,,,,,,,,1701583,29103,,,,Asia,,,,29103,2022,19925,2020,20410,2020
BGD,Bangladesh,2020,92.842,0.564,,1.461,0.009,14.751,0.09,,,59.226,0.36,17.404,0.106,,,-1.46,-1.373,,,,,,1562.306,23.038,119.442,,969.642,450.183,,,0.27,0.09,0.11,,0.8,0.16,,0.09,0.05,0.02,,0.4,0.08,,,,,,,,,,164689383,2362,,,,Asia,,,,2362,2022,2001,2020,1969,2020
BRB,Barbados,2020,1.087,3.782,,0.071,0.246,,,,,0.054,0.188,0.962,3.348,,,-10.58,-0.129,,,,,,54.875,3.627,,,1.734,49.423,,,0,0,,,0,0.01,,0,0.01,,,0,0.01,,,,,,,,,,287371,19110,,,,North America,,,,19110,2022,15449,2020,15374,2020
BLR,Belarus,2020,57.445,6.079,,2.267,0.24,3.379,0.358,0.002,0,34.006,3.599,16.8,1.778,0.992,0.105,-5.86,-3.577,,,,,,4907.842,86.573,512.624,9.985,1289.099,2956.73,52.832,,0.17,0.14,0.02,0,0.46,0.15,0.33,0.29,0.2,0.07,0.06,0.53,0.5,0.56,,,,,,,,,9449321,6384,,,,Europe,,,,6384,2022,6377,2020,6411,2020
BEL,Belgium,2020,83.749,7.226,,2.819,0.243,10.902,0.941,0.116,0.01,35.47,3.06,32.58,2.811,1.863,0.161,-16.04,-15.997,,,,,,12543.142,220.787,7523.715,3.243,1334.425,3386.795,74.177,,0.24,0.17,0.08,0.03,0.48,0.29,0.63,0.74,0.51,0.95,0.02,0.54,0.57,0.79,,,,,,,,,11589616,52485,,,,Europe,,,,52485,2022,45028,2020,45159,2020
BLZ,Belize,2020,0.583,1.466,,,,,,,,0.007,0.018,0.576,1.448,,,-11.48,-0.076,,,,,,19.063,,,,0.068,18.995,,,0,,,,0,0.01,,0,,,,0,0,,,,,,,,,,397621,4520,,,,North America,,,,4520,2022,3988,2020,4436,2020
BEN,Benin,2020,6.703,0.553,,0.212,0.018,,,,,0.04,0.003,6.451,0.532,,,-8.37,-0.612,,,,,,111.665,5.505,,,0.327,104.88,,,0.02,0.01,,,0,0.06,,0.01,0.01,,,0,0.02,,,,,,,,,,12123198,1432,,,,Africa,,,,1432,2022,1254,2020,1291,2020
BMU,Bermuda,2020,0.624,10.028,,,,0.017,0.27,,,,,0.608,9.758,,,-10.54,-0.074,,,,,,29.205,,0.076,,,29.13,,,0,,0,,,0.01,,0,,0,,,0,,,,,,,,,,62273,1,,,,North America,,,,1,,123945,2020,107080,2020
BTN,Bhutan,2020,1.925,2.495,,0.359,0.465,0.965,1.251,,,,,0.601,0.779,,,-0.11,-0.002,,,,,,19.193,4.195,6.259,,,8.738,,,0.01,0.02,0.01,,,0.01,,0,0.01,0,,,0,,,,,,,,,,771612,3491,,,,Asia,,,,3491,2022,3218,2020,3122,2020
BOL,Bolivia,2020,20.7,1.773,,1.439,0.123,0.015,0.001,0.154,0.013,7.69,0.659,11.402,0.977,,,-13.2,-3.148,,,,,,530.155,27.36,0.363,31.365,160.16,310.908,,,0.06,0.09,0,0.04,0.1,0.1,,0.03,0.06,0,0.18,0.07,0.05,,,,,,,,,,11673029,3431,,,,South America,,,,3431,2022,3133,2020,3143,2020
BES,Bonaire Sint Eustatius and Saba,2020,0.301,11.466,,,,,,,,,,0.301,11.466,,,-11.51,-0.039,,,,,,30.354,,,,,30.354,,,0,,,,,0,,0,,,,,0.01,,,,,,,,,,26221,24200,,,,North America,,,,24200,,,,,
BIH,Bosnia and Herzegovina,2020,21.418,6.528,,0.381,0.116,16.201,4.938,,,0.463,0.141,4.373,1.333,,,-13.8,-3.429,,,,,,954.784,11.141,755.118,,24.318,163.882,,,0.06,0.02,0.12,,0.01,0.04,,0.06,0.03,0.1,,0.01,0.03,,,,,,,,,,3280815,6726,,,,Europe,,,,6726,2022,6035,2020,6032,2020
BWA,Botswana,2020,6.519,2.772,,0.006,0.003,3.738,1.59,,,,,2.775,1.18,,,-5.86,-0.406,,,,,,150.402,0.256,88.074,,,62.069,,,0.02,0,0.03,,,0.03,,0.01,0,0.01,,,0.01,,,,,,,,,,2351625,7519,,,,Africa,,,,7519,2022,6711,2020,6711,2020
BRA,Brazil,2020,467.384,2.199,,22.198,0.104,55.446,0.261,17.505,0.082,60.331,0.284,305.512,1.437,6.392,0.03,-3.79,-18.41,,,,,,16238.506,772.08,2420.74,437.667,1254.632,11190.142,163.245,,1.34,1.36,0.4,4.02,0.82,2.76,2.15,0.96,1.79,0.31,2.46,0.51,1.89,1.75,,,,,,,,,212559409,8570,,,,South America,,,,8570,2022,6797,2020,6797,2020
VGB,British Virgin Islands,2020,0.139,4.605,,,,,,,,,,0.139,4.605,,,-11.51,-0.018,,,,,,5.499,,,,,5.499,,,0,,,,,0,,0,,,,,0,,,,,,,,,,30237,1,,,,North America,,,,1,,49357,2020,N/A,
BRN,Brunei,2020,10.158,23.22,,,,,,0.663,1.516,7.529,17.209,1.967,4.495,,,2.01,0.2,,,,,,360.375,,,87.257,183.75,89.365,,,0.03,,,0.15,0.1,0.02,,0.02,,,0.49,0.07,0.02,,,,,,,,,,437483,79816,,,,Asia,,,,79816,2022,27437,2020,27443,2020
